Malzeme Kodu;Müşteri Malzeme Adı;Birim Satış Fiyat;Birim Maliyet Fiyat;Kur;Ornet Malzeme Adı;;;;;;
ORN0001;"DSC PC 585
4/ 32 Zone Alarm Kontrol Paneli, Kart Üzerinde 4 Zone Girişi, 32 Kablosuz Zone Kullanım, Kart üzerinde 2 Adet PGM Çıkışı, 8 Adet  Şifre Paneli Bağlanabilir, 500 Olay hafızası";$125,00;$50,00;USD;;;;;;;
ORN0002;"DSC PC 1616
6/16 Zone Alarm Kontrol Paneli, Kart Üzerinde 6 Zone Girişi, 16 Kablolu ve Kablosuz Zone Kullanım, Kart üzerinde 2 Adet PGM Çıkışı, 8 Adet  Şifre Paneli Bağlanabilir, 500 Olay hafızası, 2 Partition (Bölüm)";$135,00;$60,00;USD;;;;;;;
ORN0003;DSC PC 1555 LED Keypad                                                                                                     8 Zone Led Şifre Paneli, LED Işıklarla Aydınlatılmış Durum ve Zone Fonksiyonlar, Ekstra Zone Girişi, 2 Partition Destekler;$36,00;$20,00;USD;;;;;;;
ORN0004;"DSC LCD Modüllü Keypad (RFK 5501)
Modern Görünüm, 5 Programlanabilir Fonksiyon Tuşu, Çeşitli Kapı Çan Özelliği Çeşitleri, Yeni AC Durum Göstergesi, 8 Partition Destekler, RFK 5501 32 Kablosuz Zone 16 Uzaktan Kumanda Destekler";$142,00;$85,00;USD;;;;;;;
ORN0005;"DSC LCD Keypad (PK 5501)
Modern Görünüm, 5 Programlanabilir Fonksiyon Tuşu, Çeşitli Kapı Çan Özelliği Çeşitleri, Yeni AC Durum Göstergesi, 8 Partition Destekler, RFK 5501 32 Kablosuz Zone 16 Uzaktan Kumanda Destekler";$85,00;$55,00;USD;;;;;;;
ORN0006;Kablolu Manyetik Kontak;$11,00;$2,00;USD;;;;;;;
ORN0007;"DSC LC-100 Hareket Dedektörü
Hayvan Algılamayan Pır Dedektör 'Fresnel Lens Teknolojisi, Tutarlı Dijital Sinyal Analizi, Dahili Kablo Kanalı, Tavan/Duvar Montaj Braketi, 27 kg Hayvan Algılama Özelliği (Pet Imune) 301 DP";$28,00;$9,50;USD;;;;;;;
ORN0008;"EBS LX3NBQ30 4,5G Gsm/Gprs Haberleşme Modülü
GSM/GPRS Haberleşme Modülü, GSM Back Up Kullanılabilir, GPRS Üzerinden SurGard Sistem III ve Sistem II Receiverlar ile Haberleşme, PSTN Hattaki Arızada GSM'e Otomatik Geçiş, Contact ID Formatla Çalışan Bütün Alarm Panelleri ile çalışır.";$148,00;$75,00;USD;;;;;;;
ORN0009;DSC 5108 Zone Arttırma Kartı;$70,00;$27,00;USD;;;;;;;
ORN0010;Su Basma Dedektörü;$38,00;$19,00;USD;;;;;;;
